condition,N,seeds,initial_mean,final_mean,gain_mean,correct_consensus_rate,wrong_consensus_rate,polarization_rate,fragmentation_rate,final_top1_mean,final_top2_mean,final_support_size_mean,final_entropy_mean,final_U_mean,correct_consensus_count,wrong_consensus_count,polarization_count,fragmentation_count
all_gpt_4o,4,10,0.425,0.675,0.25,0.6,0.2,0.2,0.0,0.95,0.05,1.2,0.11246702955288367,0.925,6,2,2,0
all_gpt_4o,8,10,0.6,0.8125,0.2125,0.7,0.0,0.3,0.0,0.8875,0.1125,1.3,0.1917045569600488,0.865625,7,0,3,0
all_gpt_4o,16,10,0.475,0.89375,0.41875,0.8,0.0,0.2,0.0,0.93125,0.06875,1.2,0.12826496190040879,0.91015625,8,0,2,0
all_gpt_4o,32,10,0.5054435483870968,0.815625,0.3101814516129032,0.6,0.0,0.4,0.0,0.846875,0.153125,1.4,0.2647761902002354,0.8123046875,6,0,4,0
all_gpt_4o,64,10,0.4765625,0.80625,0.3296875,0.6,0.0,0.4,0.0,0.83125,0.16875,1.5,0.3025713529346832,0.7896484375,6,0,4,0
all_gpt_4o,128,10,0.4653051181102362,0.7515625,0.2862573818897638,0.5,0.0,0.5,0.0,0.7796875,0.21328125,1.8,0.3667689755515593,0.74970703125,5,0,5,0
all_gpt_5_4,4,10,0.5,0.575,0.075,0.4,0.3,0.3,0.0,0.925,0.075,1.3,0.1687005440120688,0.8875,4,3,3,0
all_gpt_5_4,8,10,0.425,0.675,0.25,0.5,0.1,0.4,0.0,0.85,0.1375,1.5,0.285977638001443,0.809375,5,1,4,0
all_gpt_5_4,16,10,0.48125,0.7125,0.23125,0.5,0.0,0.3,0.2,0.8375,0.13125,1.8,0.36186335948907505,0.775,5,0,3,2
all_gpt_5_4,32,10,0.484375,0.696875,0.2125,0.5,0.1,0.4,0.0,0.803125,0.178125,1.7,0.3303231419443396,0.7853515625,5,1,4,0
all_gpt_5_4,64,10,0.425,0.6921875,0.2671875,0.5,0.1,0.3,0.1,0.846875,0.1234375,2.0,0.3361685157804035,0.8015625,5,1,3,1
all_gpt_5_4,128,6,0.4361979166666667,0.6770833333333334,0.24088541666666666,0.5,0.0,0.5,0.0,0.7473958333333334,0.18489583333333334,2.5,0.4820114178227163,0.7125447591145834,3,0,3,0
mix_gpt_4o_plus_1_gpt_5_4,4,10,0.45,0.7,0.25,0.6,0.0,0.4,0.0,0.825,0.15,1.5,0.29883502827885083,0.8,6,0,4,0
mix_gpt_4o_plus_1_gpt_5_4,8,10,0.475,0.725,0.25,0.6,0.0,0.4,0.0,0.8625,0.1375,1.4,0.2547024865329391,0.821875,6,0,4,0
mix_gpt_4o_plus_1_gpt_5_4,16,10,0.4875,0.76875,0.28125,0.6,0.0,0.3,0.1,0.85,0.1375,1.5,0.2807199319979292,0.8125,6,0,3,1
mix_gpt_4o_plus_1_gpt_5_4,32,10,0.484375,0.79375,0.309375,0.5,0.0,0.5,0.0,0.81875,0.175,1.6,0.34160226284757966,0.767578125,5,0,5,0
mix_gpt_4o_plus_1_gpt_5_4,64,10,0.5079149590163934,0.7453125,0.23739754098360655,0.5,0.0,0.5,0.0,0.7984375,0.175,1.8,0.3784324493561125,0.751318359375,5,0,5,0
