display_label,protocol,protocol_label,condition_name,observer_group,n_trials,initial_accuracy_mean,initial_accuracy_sem,final_accuracy_mean,final_accuracy_sem,final_vote_accuracy_rate,final_vote_accuracy_sem,social_lift_mean,social_lift_sem
5.4 mgr + 4o obs,org,Manager,manager_gpt_5_4_observers_gpt_4o,4o agents,63,0.3120748299319728,0.03804706986820546,0.6031746031746031,0.06213344136974703,0.6031746031746031,0.06213344136974703,0.2910997732426304,0.04700412661119727
5.4 mgr + 5.4 obs,org,Manager,all_gpt_5_4,5.4 agents,63,0.30357142857142855,0.03641152478074826,0.5714285714285714,0.06284876358057999,0.5714285714285714,0.06284876358057999,0.26785714285714285,0.04068123720455186
5.4 mgr + mixed obs,org,Manager,manager_gpt_5_4_observers_4_gpt_5_4_4_gpt_4o,4 5.4 + 4 4o agents,63,0.31746031746031744,0.03462195676324697,0.5714285714285714,0.06284876358057999,0.5714285714285714,0.06284876358057999,0.25396825396825395,0.046560549571195126
Mixed,broadcast,Broadcast,balanced_4_gpt_5_4_4_gpt_4o,4 5.4 + 4 4o agents,63,0.3345616024187453,0.029975145765279803,0.5634920634920635,0.05229874928878764,0.5634920634920635,0.05229874928878764,0.22893046107331824,0.03218723017377962
All 5.4,broadcast,Broadcast,all_gpt_5_4,5.4 agents,63,0.30753968253968256,0.03147485627074601,0.5575396825396826,0.05705095514133008,0.5575396825396826,0.05705095514133008,0.25,0.034526457867594014
Mixed,pairwise,Pairwise,balanced_4_gpt_5_4_4_gpt_4o,4 5.4 + 4 4o agents,63,0.33588435374149656,0.03540402027940619,0.5436507936507936,0.05449275077203013,0.5436507936507936,0.05449275077203013,0.20776643990929705,0.0351109840073484
All 4o,pairwise,Pairwise,all_gpt_4o,4o agents,63,0.3066893424036281,0.03855792880028494,0.5317460317460317,0.05336598447660436,0.5317460317460317,0.05336598447660436,0.22505668934240364,0.036307207182766886
All 5.4,pairwise,Pairwise,all_gpt_5_4,5.4 agents,63,0.3253968253968254,0.03704598890914227,0.5297619047619048,0.0543866122455163,0.5297619047619048,0.0543866122455163,0.20436507936507936,0.031280590161204304
4o mgr + 5.4 obs,org,Manager,manager_gpt_4o_observers_gpt_5_4,5.4 agents,63,0.30952380952380953,0.03631723495968092,0.47619047619047616,0.06342802710311082,0.47619047619047616,0.06342802710311082,0.16666666666666666,0.03980077112931958
4o mgr + mixed obs,org,Manager,manager_gpt_4o_observers_4_gpt_5_4_4_gpt_4o,4 5.4 + 4 4o agents,63,0.3115079365079365,0.03474278887643272,0.47619047619047616,0.06342802710311084,0.47619047619047616,0.06342802710311084,0.16468253968253968,0.04416704677920555
4o mgr + 4o obs,org,Manager,all_gpt_4o,4o agents,63,0.3208616780045352,0.03937382528643355,0.4603174603174603,0.0632997599807333,0.4603174603174603,0.0632997599807333,0.13945578231292519,0.04043941944059717
All 4o,broadcast,Broadcast,all_gpt_4o,4o agents,63,0.27465986394557823,0.031635219019998065,0.45634920634920634,0.047089401733534486,0.45634920634920634,0.047089401733534486,0.18168934240362813,0.029265499416420097
